user_id,item_id,qty,price
1,118,1,605.8
1,285,1,1072.76
1,1229,1,544.01
1,1688,1,971.7
1,2068,1,588.92
1,5299,1,808.57
1,6941,1,909.66
1,7223,1,625.65
1,8904,1,885.87
1,9358,1,502.97
1,9667,1,428.26
1,9784,1,789.39
1,11099,1,488.37
1,11763,1,567.15
1,12224,1,1182.83
1,12669,1,772.91
1,13631,1,569.2
1,14814,1,588.3
1,14816,1,688.44
1,17208,1,450.32
1,17872,1,701.75
1,18139,1,635.7
1,19190,1,565.54
1,20240,1,510.28
1,23028,1,478.79
1,23481,1,1937.18
1,23893,1,630.72
1,25611,1,681.5
1,27283,1,746.96
1,27359,1,413.53
2,46,1,463.71
2,325,1,1081.25
2,536,1,946.43
2,821,1,1236.74
2,1197,2,968.46
2,1290,1,588.37
2,1669,1,684
2,1889,1,708
2,2053,1,579.38
2,2068,1,588.92
2,2233,1,753.47
2,3182,1,737.76
2,3183,1,870.1
2,4398,1,579.61
2,4516,1,633.81
2,4777,1,1134.87
2,4802,1,772.14
2,4843,1,653.61
2,4860,1,487.66
2,4943,1,943.57
2,5006,2,783.36
2,5066,1,1076.6
2,5511,4,411.76
2,5602,1,505.72
2,6993,1,770.33
2,7457,1,571.5
2,8655,2,937.64
2,8930,1,604.63
2,9289,1,471.07
2,9458,3,954.22
2,9707,1,575.25
2,9732,1,679.83
2,9755,1,488.33
2,9832,1,598.65
2,10344,1,804.21
2,11585,1,415.82
2,11896,1,761.63
2,11897,1,725.1
2,12405,1,868.58
2,12818,2,755.63
2,13631,1,569.2
2,14024,1,487.26
2,14075,1,649.47
2,14338,1,507.04
2,14649,1,792.83
2,15187,1,601.27
2,15231,2,608.72
2,16673,1,679.27
2,17423,1,904.58
2,17486,1,635.29
2,17728,1,987.02
2,17955,1,656.96
2,18505,1,1067.8
2,18522,2,954.78
2,19168,1,1179.11
2,19484,1,534.9
2,19568,1,332.27
2,19589,1,749.84
2,19613,1,771.1
2,19651,1,834.15
2,19675,5,736.85
2,19724,1,1079.3
2,19725,1,830.7
2,20290,1,586.96
2,20366,1,551.91
2,20371,1,649.77
2,20374,1,1086.04
2,20520,1,952.47
2,20956,1,441.98
2,20958,1,673.61
2,21077,1,795.43
2,21290,2,827.64
2,21913,1,515.22
2,22310,1,844.5
2,22435,1,704.8
2,22934,1,1336.32
2,23028,1,478.79
2,23557,1,1232.47
2,24174,1,699.11
2,24436,1,599.95
2,24445,1,723.26
2,24521,1,770.81
2,25469,1,884.27
2,25539,2,532.58
2,26076,1,668.72
2,26297,2,430.44
2,26324,1,791.95
3,232,1,651.12
3,432,1,679.1
